region,year,adj_pe,adj_lower,adj_upper,pe,lower,upper
Yorkshire and The Humber,2017,339.289917935088,319.239340110956,359.380839421801,317.771470408181,299.316502979756,336.803155568743
South East,2017,94.0492009799831,85.924109133305,102.139849886802,92.0059451613022,84.1197212903334,100.242667870981
South West,2017,207.524684757028,191.873712739081,223.504061078907,194.04574285525,179.747635486969,209.219244552202
East Midlands,2017,155.498543157813,141.077631359372,170.483880167863,145.048014527269,131.831794524784,158.925045529878
London,2017,67.5493706099836,61.0036679184107,74.1661004009291,69.0951096658122,62.498917812274,75.8562063156888
East of England,2018,90.7453265316609,81.2018593411785,100.403063363468,89.6331354735994,80.5399188313502,99.2459644954057
East Midlands,2018,157.906145974507,143.478401731429,172.574942726917,148.954779042722,135.44339421805,163.12525581006
South West,2018,194.950318117102,179.828761231473,210.33249389232,182.221144976538,168.271200863502,196.752336760951
North West,2018,263.962877013219,248.553201957354,279.08904413629,255.567132898155,241.068404782849,270.282259940555
North East,2018,426.636846003866,394.369781305427,460.634489671115,383.932882844184,354.308432007442,414.149822697662
West Midlands,2018,166.042618928891,152.867352415898,179.32701563506,158.452811864861,145.808869322164,171.365774461657
South East,2018,79.0568618631246,71.7789967610838,86.6050251216432,77.6539415059443,70.4831946551702,84.9995846213714
Yorkshire and The Humber,2018,358.844506094092,338.956601928093,379.981608213143,337.73753823281,318.46290870845,357.299848794847
London,2018,76.049770299301,69.080713211179,82.8909515437927,77.4266713766528,70.5515758210092,84.3058592510794
East of England,2019,98.3374259627034,87.4045351526404,109.413321107797,96.0211171146972,85.3521041019531,106.690130127441
London,2019,72.6121281859272,66.0103687892646,79.5690420455542,72.5479643937851,65.859694193212,79.3951879994907
West Midlands,2019,173.261255177362,159.771606086096,187.401910999902,164.895713515818,152.025804168242,178.30186908621
South West,2019,160.893081967754,147.399607655768,174.94087500998,151.781381309431,138.696779472411,164.865983146451
North West,2019,292.315895674335,276.768129392595,308.363836347505,281.788087602488,266.923119678503,297.299358479689
East Midlands,2019,167.711838194205,152.968580752783,183.286221640882,158.963505394906,144.84071462635,173.086296163462
North East,2019,444.168338038902,411.276940317413,478.044633401317,408.592765065674,378.392430256472,438.793099874876
Yorkshire and The Humber,2019,346.931480763843,327.185761401093,367.123438827131,325.206802223127,306.245981598811,343.88033768647
South East,2019,88.3914787641883,80.6418317465228,96.3046340549842,87.3117210048252,79.8029129984102,95.1697758952595
North East,2020,349.988713366141,321.313772460293,379.691320448734,322.833093520085,296.274612334703,350.571951647039
North West,2020,240.716158865995,226.201364853638,255.281552436677,232.136495400326,218.39298410928,246.309491419217
West Midlands,2020,146.182397516458,133.633493339344,159.073359240864,138.439759899043,126.436312508953,150.443207289133
Yorkshire and The Humber,2020,240.797474258734,224.208239811698,257.981209258756,225.472497934838,209.735204297254,241.209791572422
