Age,region,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Age 88,East,-,-,-,-,-,-,-,-,-,-,12875,13083,13181,12421,11879,10341,13305,16437,17194,16659,16661,16620,16801,17411,17541,17899,18594,19256,19559,19636
Age 89,East,-,-,-,-,-,-,-,-,-,-,10521,11048,11277,11380,10670,10219,9082,11818,14221,15100,14598,14632,14587,14898,15391,15466,15763,16229,17141,17137
Aged 90+,East,-,-,-,-,-,-,-,-,-,-,36279,37660,39025,40211,41499,41996,42332,41385,43007,46515,50277,53116,55198,57731,58436,60549,61611,62416,64730,65659
All Ages,London,6829314,6829408,6844491,6873527,6913123,6974407,7014838,7065497,7153912,7236712,7322403,7376671,7394817,7432730,7519009,7597825,7693473,7812161,7942594,8061495,8204407,8308833,8417458,8539398,8666930,8769659,8825001,8908081,8961989,9002488
Age 0,London,104819,104210,101727,102265,101878,102028,104250,103217,102099,100968,97137,101561,105440,108459,111873,115272,120460,124418,124234,126075,126221,134044,130187,126999,127502,128824,125839,122401,117840,115245
Age 1,London,96687,101849,101523,99829,100593,99705,99408,101928,99905,98410,96741,94889,98440,102163,105645,108678,112722,117197,121658,120620,121653,124968,132736,128865,125507,125989,126774,124264,120779,116979
Age 2,London,95136,95020,99740,99638,98058,98937,97482,97522,99483,97064,95145,94851,92783,95552,99973,102665,105786,110235,114900,118899,117585,120206,123519,131593,127622,124196,123773,125262,122349,119607
Age 3,London,93794,93649,93731,98060,97945,96986,97177,95821,95306,97267,94764,93714,93154,91312,94029,97814,100450,103625,108830,112932,116855,116541,119144,122612,130195,126338,122509,122645,123655,121178
Age 4,London,88969,92732,92646,93011,96696,97236,95773,95789,93505,93349,95035,93544,92397,91959,90615,92538,96285,98714,102372,107802,111765,116137,115802,118579,121898,129055,124853,121309,121381,122790
Age 5,London,86410,88409,92075,92079,92334,96074,96286,95010,93932,91400,91743,94256,92785,91637,91006,89831,91390,95170,97795,101751,106859,111592,115939,115567,118214,121337,127928,124273,120529,120988
Age 6,London,85679,85775,87980,91622,91620,92375,95134,95557,93488,92000,89775,91330,93800,92195,90900,90289,89675,90538,94701,97236,100862,106714,111347,115668,115331,117589,120364,127222,123395,120075
Age 7,London,81240,85381,85250,87704,91063,91469,91833,94170,93810,91784,90057,89307,90833,93143,91444,90283,90126,89565,90271,94245,96281,100866,106381,111203,115254,114750,116495,119508,126128,122677
Age 8,London,80889,80908,85078,84788,87279,90874,90866,91414,92705,92088,90213,89481,88933,90472,92319,90876,90159,90070,89833,90028,93478,96108,100726,106078,110822,114754,113844,115753,118164,125200
Age 9,London,80154,80034,80553,84841,84244,87306,90324,90474,90453,91082,90487,89496,88978,88451,89870,91758,90655,90100,90449,90325,89472,93488,95998,100529,105968,110351,113984,113099,114776,117393
Age 10,London,80179,79394,79380,80484,84642,84196,86941,89947,89258,89537,89407,90083,89166,88134,88407,89824,91719,90431,90515,90895,90502,89445,93441,96037,100508,105759,109717,113407,112175,114196
Age 11,London,79249,79765,78986,79035,80357,84952,83856,86798,89209,88172,88492,89259,89535,88168,88142,88273,89845,91471,90690,90943,91087,90625,89668,93732,96244,100475,105281,109260,112468,111526
Age 12,London,75275,78643,79294,78468,78512,80523,84625,83479,85791,87828,86634,87900,88902,88264,87540,87793,88135,89770,91489,90838,90963,90993,90616,89785,93828,96186,100063,105014,108404,111947
Age 13,London,69863,75087,78596,79186,78235,78649,80464,84694,82737,85444,87231,86432,87918,88421,88075,87549,88123,88333,90411,92157,91268,91236,91325,91154,90351,94146,96143,100163,104821,108425
Age 14,London,67512,69832,75057,78665,79179,78478,78366,80676,84830,82093,84679,86797,86368,87064,88435,87926,87457,88193,88583,90904,92371,91534,91436,91756,91576,90488,94168,96282,99737,104659
Age 15,London,68680,67685,70064,75295,78882,79687,79117,78871,80695,84429,83172,85297,88054,87349,88231,89694,89020,88929,89988,90198,92639,92894,92097,92277,92699,92656,91077,94933,96980,100322
Age 16,London,72086,68785,67975,70455,75628,79455,80571,79661,79518,81424,86596,84570,86746,89352,88581,89662,91454,90668,90860,91888,92178,92988,93476,93194,93454,93858,93601,92117,95700,97634
Age 17,London,73993,72577,69563,68838,71263,76779,80668,81577,81322,80657,84174,87842,86289,87694,90375,89639,91154,93482,92589,92629,94135,92834,93541,94583,94762,95026,94946,95109,93146,96754
Age 18,London,80356,74459,73495,76644,79012,81362,87275,88518,81028,79349,82495,86997,90896,89059,90109,92831,92476,94309,97006,95206,95634,94294,93026,94467,95481,95228,94580,94965,94926,92855
Age 19,London,91179,87075,77800,81776,90177,92670,96248,91262,84653,82987,82062,86403,90734,93841,91786,91744,95032,95026,96708,97680,96673,92172,90970,89801,91577,90921,88608,87644,86850,86891
Age 20,London,102850,94434,91657,89532,90220,97890,99306,98203,91859,90410,91057,86619,89137,94594,97845,96468,96613,99312,98316,101168,103010,97684,93666,93310,93221,93508,92269,90957,89988,88563
Age 21,London,110416,107370,101153,97901,94408,94186,100055,102002,99750,96677,97974,99621,93367,98116,103121,107566,106486,106055,108076,106670,110352,108426,102281,99422,100491,99290,99754,99669,98474,95773
Age 22,London,122690,115712,115012,109526,103317,99041,97223,107890,108950,106652,107097,108824,107679,104986,109148,114871,120322,118618,116709,121855,122648,120114,117075,112670,111441,110739,109457,112337,112418,108966
Age 23,London,134577,128546,123447,121378,113421,107974,102002,106011,118765,117882,118324,119758,118530,120785,118462,123164,129355,134300,131095,132408,139627,134989,131530,130051,126219,124641,123134,125144,127798,125734
Age 24,London,145159,137542,132466,125645,122922,116545,110828,107092,121899,128668,128372,128613,128778,131494,134324,132402,138309,142660,146469,146385,147971,149629,144594,142520,142392,137611,133361,135134,136749,137558
Age 25,London,150250,146761,140575,134128,128908,127294,120542,117312,126196,134517,137740,136664,135041,137629,143100,144682,144591,150141,151813,156285,159024,155782,157576,153797,152402,151060,144430,142317,143880,143752
Age 26,London,154052,149734,147682,141233,136338,131361,129085,124617,133448,137609,144762,143778,141310,140823,146666,151476,154764,155041,158048,159239,166554,165144,162129,164641,161493,159031,155372,150833,147800,148014
Age 27,London,152650,151734,148921,147475,142616,138122,131783,131168,138352,143831,147338,148754,145609,144769,146734,152426,159095,162876,161124,164360,167430,170812,169796,167244,170754,166374,161818,159031,154216,150226
Age 28,London,147411,149107,149452,146136,145974,142415,136654,131886,142053,147265,152884,149816,149616,147571,149286,150340,157902,165546,167389,166656,171318,169929,173816,173606,171295,173760,167596,163693,160451,155293
Age 29,London,138256,144190,146770,144881,143095,144065,140029,136435,140531,148064,153548,153837,149182,149860,149821,151140,152913,161792,168364,171087,172483,173031,171816,176294,176283,173244,173650,168487,163663,160563
Age 30,London,133415,134598,141040,141976,143853,143730,144448,140853,143162,144547,151941,152197,150206,146955,149396,149907,149619,154889,164010,168694,172885,172868,173607,172482,177370,176628,171365,173005,166479,161864
Age 31,London,124263,129984,131489,137088,140545,143422,143176,144165,143228,146096,147357,149945,148183,147390,145775,148244,147222,150141,155273,163546,169725,172448,172754,173567,172587,176304,173822,169514,170201,164327
Age 32,London,116355,121662,127203,129451,135564,140138,142518,142562,145205,145103,147747,145611,145838,144921,145740,143947,145063,146798,149777,153439,163405,168440,171455,171902,172463,171053,173177,171746,166447,167537
Age 33,London,110521,114163,119321,125087,127748,134543,138811,141244,142134,146016,146251,145172,141781,142343,143021,143500,140714,143728,145740,147713,152222,161447,166871,169655,170017,169983,167429,170479,168391,163383
Age 34,London,105472,108723,112287,117524,123492,126855,133050,137413,139633,142656,146375,143459,141005,138483,140286,140660,140203,139544,142495,143119,146248,150007,159545,165293,167694,167178,165946,164330,166591,164973
Age 35,London,99883,103573,106871,110822,115822,122004,125019,131549,134903,138353,141550,143191,139533,137507,136585,137610,138183,137399,137412,139414,140276,143894,148400,157662,163141,164805,163297,163156,160154,162737
Age 36,London,94548,98045,101879,105460,109375,114452,120070,123287,128673,133497,136626,138623,139199,136062,135281,133693,134991,135346,135190,134523,136491,138484,142154,146438,155578,160497,161636,160406,159621,156786
Age 37,London,91981,92997,96490,100500,103997,108363,112802,118439,120809,127133,131761,134169,135103,135786,133775,132498,131535,132600,133488,132574,131958,134380,136797,140329,144787,153067,157029,158417,156401,155913
Age 38,London,89719,90583,91692,95363,99281,103248,107229,111705,116391,119531,125579,129475,131071,132044,133315,130947,129943,129084,130992,130828,130096,130121,132889,135241,138767,142424,150047,154008,154642,153029
Age 39,London,87222,88760,89700,90966,94648,98873,102487,106694,110280,115552,118352,123722,126835,128101,129754,130378,128426,127371,127415,128649,128652,128409,128669,131232,133528,136700,139751,147344,150702,151469
Age 40,London,87384,86317,87777,88916,90140,94107,98059,101548,104941,109097,113285,117276,121256,123750,125903,126569,127868,125691,126361,125089,126449,126989,127157,127424,130033,132046,134432,137632,144656,148027
Age 41,London,87969,86430,85544,87150,88359,89850,93510,97326,100426,104239,107581,112399,115108,118378,121833,123108,124719,124941,124683,123801,122965,124753,125720,125733,126188,128266,129929,132483,135179,142045
Age 42,London,89473,87031,85599,84944,86480,88078,89218,92685,96318,99960,103113,107104,110593,112576,116799,119370,121150,122440,123668,122401,121462,121874,123787,124732,124759,125096,126690,128497,130725,133245
Age 43,London,93869,88772,86366,84997,84421,86145,87527,88545,92267,96120,99065,102543,105893,108247,111094,114647,117818,118858,121400,121296,120200,120405,120978,122703,123897,123637,123662,125195,126813,128926
Age 44,London,100926,92660,87598,85302,84240,83955,85394,86690,88247,92040,95080,98646,101299,104108,107108,109285,113192,116129,117956,119360,119044,119035,119733,120244,122191,123123,122473,122540,123659,125220
Age 45,London,81055,99387,91689,86826,84399,83559,83211,84703,86058,87537,90702,93214,96900,99955,102800,105621,107509,111682,115375,116912,117964,118167,118488,119245,119888,121469,121898,121503,121197,122441
Age 46,London,77178,80306,98337,91011,86072,83740,82731,82562,83821,85295,86534,89178,91808,95722,98747,101624,103884,106204,111002,114451,115782,117133,117427,117996,118777,119253,120526,120973,120177,120108
Age 47,London,76969,76387,79414,97097,90229,85473,82882,81999,81839,83279,84428,84907,88012,90570,94636,97715,100367,102791,105782,110326,113531,114987,116586,117064,117818,117973,118283,119741,119891,119078
Age 48,London,74271,75978,75671,78809,96056,89622,84774,82238,81101,81400,82197,82933,83698,87118,89689,93443,96370,99440,102461,105158,109463,112661,114306,116095,116758,117259,117124,117472,118716,118962
Age 49,London,68543,73365,75029,75035,78016,95159,88837,84133,81226,80404,80441,80852,81812,82641,86380,88708,92059,95487,99128,101900,104372,108698,112180,113906,115831,116276,116604,116452,116633,117946
Age 50,London,63552,67702,72682,74106,74314,77382,94035,88078,82857,80523,79141,79582,79564,80119,81768,85530,87230,91330,94664,98019,101135,103722,108215,111844,113443,115203,115485,115984,115711,115922
Age 51,London,69269,62851,66648,71759,73171,73615,76504,92881,86730,82160,79274,78177,78229,77937,79073,80812,84284,86619,90558,93426,97547,100257,103237,107812,111268,112663,114305,114667,115165,115029
Age 52,London,70200,68470,62328,65903,71018,72440,72915,75857,91016,85924,80871,78272,76856,76639,77077,78206,79629,83851,85999,89369,92886,96872,99534,102772,107170,110591,111672,113560,113820,114370
Age 53,London,68733,69355,67653,61761,65134,70389,71553,72142,74452,89709,84589,79607,76959,75258,75752,76355,76948,79246,83356,84889,88776,92145,96345,99021,102148,106620,109837,110855,112504,112893
Age 54,London,67503,67916,68485,66759,61157,64128,69314,70307,70716,73532,87540,83139,78080,75299,74324,74880,75262,76525,78689,82378,84433,88052,91597,95830,98467,101514,105674,109139,109817,111724
Age 55,London,66846,66594,66940,67413,65709,60549,63191,68399,68886,69578,72268,85893,80896,76528,74084,73124,73687,73839,75913,77906,81812,83766,87440,90965,95141,97735,100519,104706,108129,108924
Age 56,London,64379,65817,65757,65960,66340,64874,59774,62092,67018,67429,68346,70798,83739,79159,75199,72869,71953,72072,73222,75159,77245,80979,83110,86704,90195,94190,96641,99584,103542,107054
Age 57,London,62764,63360,64843,64734,64848,65436,63884,58917,60854,65728,66057,66894,68994,82014,77548,73826,71684,70424,71354,72590,74499,76581,80322,82545,86137,89338,93090,95682,98428,102375
Age 58,London,62416,61534,62244,63777,63542,63812,64265,62708,57838,59517,64354,64694,65244,67503,80630,75894,72312,70264,69680,70485,71901,73470,75893,79542,81797,85386,88369,92150,94452,97182
Age 59,London,63386,61248,60336,61201,62562,62602,62745,63028,61248,56701,58206,62808,63090,63793,66241,79151,74203,70616,69506,68792,69678,70887,72630,75157,78772,80955,84325,87348,90917,93187
Age 60,London,64139,61891,59920,58984,59731,61146,61212,61156,61438,59791,55315,56785,61164,61522,62276,64387,76873,72394,69521,68521,67681,68532,69974,71842,74336,77891,79873,83208,86020,89647
Age 61,London,63358,62524,60325,58521,57387,58312,59508,59766,59665,59844,57992,53839,55343,59333,60041,60531,62494,75267,71142,68271,67453,66647,67606,69154,71111,73475,76796,78772,81938,84731
Age 62,London,59915,61744,60956,58828,56977,56016,56838,58001,58319,58221,58118,56431,52332,53758,57786,58491,58670,61159,74204,69702,67007,66326,65811,66788,68503,70405,72530,75736,77670,80776
Age 63,London,59169,58422,60173,59386,57258,55622,54559,55416,56487,56987,56578,56614,54995,50754,52353,56199,56896,57416,60218,73107,68286,65922,65512,65174,66159,67727,69439,71697,74776,76828
Age 64,London,58347,57423,56836,58475,57730,55735,54092,53055,54070,55052,55536,55051,55014,53371,49272,50928,54613,55758,56384,59163,71850,66986,64962,64683,64448,65311,66777,68655,70670,73594
Age 65,London,58539,56470,55557,55132,56596,55963,53911,52455,51517,52592,53505,53747,53362,53133,51944,47445,49357,53420,55077,55225,57976,70265,65836,63812,63651,63262,64102,65643,67379,69470
Age 66,London,57258,56505,54659,53760,53229,54785,54193,52189,51008,49997,51094,51679,52012,51680,51619,50290,45882,48242,52432,54130,54086,56863,68911,64643,62648,62630,62003,62995,64444,66040
Age 67,London,56114,55303,54532,52909,52018,51647,53102,52528,50657,49525,48571,49563,50083,50266,50216,49839,48786,44869,47508,51458,53251,53102,55959,67738,63533,61524,61456,60959,61903,63250
Age 68,London,55857,54369,53494,52818,51271,50445,50091,51547,50931,49298,48234,47123,48118,48555,48809,48584,48382,47787,43979,46621,50417,52164,52185,55058,66467,62364,60534,60497,59867,60684
Age 69,London,56495,53814,52443,51707,50822,49488,48638,48495,49956,49411,47842,46637,45583,46468,47175,47190,47138,47308,46976,42975,45741,49303,51130,51232,54158,65151,61143,59492,59333,58698
Age 70,London,56983,54273,51753,50534,49665,48838,47632,46835,46990,48299,47834,46269,45075,44043,45148,45752,45653,45942,46276,45972,41811,44868,48301,49925,50245,53063,63660,59973,58300,58124
Age 71,London,61154,54722,52190,49866,48560,47809,46966,45906,45279,45434,46697,46167,44635,43510,42709,43681,44355,44435,44886,45248,44906,40835,43994,47242,48990,49230,52001,62407,58646,57109
Age 72,London,38952,58633,52581,50210,48010,46823,46068,45247,44304,43629,43891,44985,44447,43026,42019,41293,42340,43137,43244,43886,44142,43855,39999,42943,46204,47918,48104,50927,60927,57299
Age 73,London,36759,37453,56062,50536,48233,46177,44989,44380,43336,42530,42078,42214,43299,42637,41569,40493,39898,41064,41993,42010,42688,43119,42797,39162,42001,45090,46718,47014,49778,59413
Age 74,London,40592,34959,35818,53350,48177,46033,44156,43091,42300,41394,40842,40305,40469,41470,41030,40002,39037,38702,39843,40764,40815,41657,42168,41758,38182,40910,43935,45526,45895,48487
Age 75,London,43389,38493,33191,34248,50660,46023,43866,42162,41246,40258,39655,38926,38468,38568,39812,39301,38475,37593,37503,38617,39541,39635,40563,41165,40736,37280,39857,42886,44348,44594
Age 76,London,43836,40804,36338,31284,32547,47799,43538,41583,40164,39151,38419,37581,36940,36573,36773,38068,37597,36943,36248,36245,37331,38349,38426,39527,40001,39600,36288,38748,41683,43019
Age 77,London,41994,41095,38138,34159,29259,30835,44948,41270,39325,37778,37266,36356,35481,34907,34892,35014,36312,35911,35472,34898,34950,36063,37046,37173,38303,38788,38336,35088,37647,40209
Age 78,London,39583,39146,38455,35596,31884,27291,29112,42149,38851,36903,35800,35076,34270,33449,33021,33025,33173,34585,34359,34043,33485,33731,34839,35842,35863,37020,37442,36989,33956,36190
Age 79,London,37041,36778,36416,35590,32975,29604,25336,27446,39161,36300,34744,33491,32915,32151,31427,31090,31141,31494,32942,32650,32448,32156,32452,33555,34517,34546,35691,36042,35676,32407
Age 80,London,33373,34160,33957,33640,32836,30428,27355,23457,25926,36108,33857,32345,31151,30574,30090,29525,29139,29307,29779,31279,31009,30916,30759,31067,32005,33014,33119,34084,34528,33782
Age 81,London,31600,30577,31416,31063,30773,29987,27795,25076,21800,24306,33295,31193,29892,28764,28322,27996,27634,27221,27524,28054,29574,29398,29456,29326,29454,30554,31437,31577,32585,32593
Age 82,London,28215,28808,27860,28609,28218,28032,27280,25326,22967,19981,22937,30412,28583,27522,26474,26193,25999,25623,25321,25717,26377,27837,27635,27884,27644,27848,29067,29811,29900,30682
Age 83,London,25977,25514,26190,25244,25887,25468,25303,24699,22751,20756,18184,21015,27488,25979,25172,24329,24123,23970,23759,23418,23931,24632,26071,25916,26160,26010,26166,27406,28086,27909
Age 84,London,22181,23201,22806,23412,22480,23123,22677,22628,21957,20214,18682,16267,19082,24595,23427,22862,22177,22035,22010,21806,21562,22086,22840,24442,24012,24375,24278,24425,25717,26014
Age 85,London,-,-,-,-,-,-,-,-,-,-,18449,16700,14442,17215,21881,21023,20721,20078,19951,20043,19903,19744,20353,21194,22497,22183,22490,22417,22756,23600
Age 86,London,-,-,-,-,-,-,-,-,-,-,17514,16264,14664,12591,15402,19290,18562,18558,18018,17987,18067,18052,17990,18693,19335,20601,20357,20570,20672,20651
Age 87,London,-,-,-,-,-,-,-,-,-,-,15428,15225,14073,12680,10949,13811,16842,16279,16463,15995,16171,16242,16222,16284,16787,17508,18641,18476,18726,18566
Age 88,London,-,-,-,-,-,-,-,-,-,-,13330,13216,13122,12022,10872,9441,12249,14420,14114,14464,14129,14434,14378,14543,14463,15041,15715,16678,16572,16592
Age 89,London,-,-,-,-,-,-,-,-,-,-,11055,11351,11167,11061,10121,9312,8052,10796,12079,12061,12629,12345,12606,12679,12621,12718,13224,13852,14735,14399
Aged 90+,London,-,-,-,-,-,-,-,-,-,-,37915,39071,39964,40331,40933,40845,40403,38514,39535,41595,43190,45619,47197,49785,50502,52206,53397,54731,57456,58672
All Ages,South East,7629186,7656594,7673172,7711594,7762978,7800406,7853102,7888838,7955124,7990598,8023449,8045192,8087924,8133100,8202896,8270861,8351391,8426399,8490922,8577771,8652784,8724928,8793154,8874005,8949392,9030347,9080825,9133625,9180135,9217265
Age 0,South East,100106,100318,97076,97734,95910,94479,96133,94630,95100,91862,89490,87297,90238,93688,93733,97143,100666,104121,103304,106168,107771,108542,104864,102859,103279,103292,100267,98519,95825,93502
Age 1,South East,99863,100498,100435,97409,99207,96408,95487,96438,95970,95506,92147,89990,88136,90995,94586,94815,98620,101863,105242,104759,107546,109871,110559,106916,105039,105448,105226,102444,100691,97970
Age 2,South East,99764,100330,101013,101110,98521,99871,97453,96312,97471,96517,95505,92889,90997,89077,92142,95503,96198,100124,103012,106881,106298,109553,111833,112463,108936,107010,107234,107316,104529,102746
Age 3,South East,100747,100216,100554,101586,101833,99139,100466,97764,97171,97961,96596,96178,93763,91990,89990,92990,96592,96856,101480,104574,108495,108000,111018,113533,114347,110643,108488,108944,109173,106525
Age 4,South East,97646,100679,99934,100884,102341,102249,99859,100580,98729,97694,98002,97304,97149,94627,92772,90630,93836,97153,97530,102825,105898,109755,109401,112497,114918,115990,112008,110022,110461,110846
Age 5,South East,94983,97267,100328,99934,101251,102700,102636,99995,101254,98818,97973,98711,98214,98111,95152,93480,91438,94293,97806,98246,103804,107027,110834,110540,113709,116137,116898,113178,111227,111754
Age 6,South East,95436,95160,97070,100437,100413,101709,103331,102847,101141,101218,98860,98513,99466,99040,98589,95849,94200,91962,94847,98494,98775,104573,107946,111770,111396,114743,116984,117937,114161,112354
Age 7,South East,91779,95800,95346,97393,101100,100884,102366,103871,103867,101691,101440,99327,99361,100487,99713,99228,96698,94961,92512,95432,98799,99600,105465,108758,112704,112496,115573,117907,118857,115259
Age 8,South East,92400,92239,96048,95658,97878,101433,101310,102620,104963,104148,102125,102065,100091,100150,101072,100501,100154,97438,95791,93179,95766,99697,100451,106281,109656,113660,113263,116694,118750,119819
Age 9,South East,93088,92947,92577,96614,96197,98092,101848,101472,103722,105508,104761,102557,102906,100876,100830,101879,101442,100980,98342,96626,93646,96539,100497,101343,107097,110653,114413,114126,117500,119748
Age 10,South East,95750,93142,92896,92998,97375,96330,98246,101812,102259,103780,105830,105201,103068,103454,101500,101649,102870,101921,101649,99220,97274,94569,97405,101220,102297,108147,111461,115308,115065,118394
Age 11,South East,96198,96136,93208,93215,93619,97689,96699,98473,102692,102500,104156,106520,105773,103491,104199,102351,102573,103637,102728,102646,99896,98074,95314,98113,102164,103155,108941,112461,116241,116208
Age 12,South East,94266,97066,96812,94031,94230,94557,98652,97424,99908,103686,103634,104852,107380,106189,104203,105221,103307,103254,104567,103790,103449,100765,99031,96262,99130,103078,104095,110059,113547,117297
Age 13,South East,87235,94557,97055,97085,94521,94433,95009,99258,98422,100039,103738,103864,105308,107586,106646,104585,106078,103753,103887,105350,104430,104073,101312,99761,96995,99710,103684,104780,110576,114345
Age 14,South East,86251,87930,95147,97903,98215,95509,95519,96080,100431,99158,100442,103715,104148,105370,107719,106881,105063,106552,104470,104730,106127,105204,104789,102025,100563,97892,100371,104490,105708,111338
Age 15,South East,89066,86072,87874,95329,98414,98490,95923,95723,96596,99972,99430,100150,104050,104528,106013,108558,107573,105759,107646,105447,105776,106756,105699,105533,102758,101292,98627,101082,105113,106310
Age 16,South East,93887,89508,86029,88021,95783,98621,99077,96504,96334,96391,100526,99378,100490,104483,105338,106622,109559,108244,106724,108834,106542,106268,107159,106295,106227,103530,101957,99328,101797,105544
Age 17,South East,98312,93816,89476,86512,88659,96068,99968,100192,97651,96401,97721,101024,100397,101654,105596,106474,108035,110822,109710,108077,110506,107407,106951,108251,107409,107462,104375,102906,100076,102651
Age 18,South East,104834,98017,92972,89220,85777,88149,95434,98186,99973,95132,95652,97527,101785,101149,102111,105749,107220,108896,112097,110353,109142,110345,107308,107492,108948,108272,107944,104948,103233,100347
Age 19,South East,107190,99303,96348,90329,84333,80987,83269,93079,97164,95242,91673,92812,95562,100016,99118,99261,104827,105838,107207,110411,109085,105342,107596,105427,105469,107211,104840,104770,100974,99403
Age 20,South East,110249,105976,98306,90473,86505,80714,78185,81811,89858,94367,95139,89774,90985,94044,98492,97998,98333,103493,102710,105772,108831,107093,105191,107506,105252,105740,106562,104670,103699,100263
Age 21,South East,109286,110136,104921,95374,90297,86600,82662,79210,83429,90898,96501,96191,91453,92876,96415,100532,100010,99627,103393,104545,107765,110131,108427,107170,109113,106931,107210,108179,105785,105884
Age 22,South East,113441,109094,108869,103734,98320,92806,90263,84980,83670,85761,93362,97705,98032,93930,96936,99057,102867,102295,100347,105741,106389,109026,111189,110000,108594,110340,107525,107705,108441,106852
Age 23,South East,115092,112765,107279,109455,106729,101320,96342,91530,87746,86543,89607,95175,100014,100826,97816,100329,101980,105196,103125,102614,107969,107562,110273,112539,111425,109894,110557,108219,107949,109154
Age 24,South East,118115,114818,111574,110267,111294,108394,103996,97138,92907,89723,89601,90817,96665,101876,103575,100864,103006,103433,105398,105172,104386,107519,107250,110560,112946,111729,109171,109715,107175,107483
Age 25,South East,118770,117066,113093,113086,110417,111435,109027,103735,97262,93859,91275,90348,91948,97343,103505,104137,102400,103230,102611,105441,105093,104054,107082,107143,110493,112868,110673,108128,108357,106118
Age 26,South East,120915,119669,117522,115468,114748,111454,113129,109926,104738,98762,94990,91816,91329,92621,99193,104596,105651,102957,103122,103080,105509,104902,103833,107121,107037,110567,112066,109972,106742,107444
Age 27,South East,120928,121170,119890,118805,116662,115359,112554,113679,110677,105561,98745,95895,93304,92619,94521,100813,106702,106411,103601,104432,103412,105635,104966,104092,107292,107754,110350,111674,109111,106269
Age 28,South East,118948,121061,121033,121297,120425,117649,116362,112631,113697,111321,105696,99743,97524,94723,94751,96012,103080,108211,107165,105526,105959,103616,105863,105411,104767,108147,107812,110098,110925,108906
Age 29,South East,116582,119486,121303,122813,123272,121818,119261,117132,113318,114703,111739,106742,101858,99037,97105,96553,98250,104845,109186,109008,107373,106531,104243,106557,106463,105887,108530,107860,109922,110737
Age 30,South East,115162,116768,119724,123009,123947,124186,122838,119501,117632,114104,115196,112034,108271,102811,100991,98799,97599,99953,106309,110856,110142,108012,107424,105336,107826,107830,106499,109068,108118,110290
Age 31,South East,111580,115582,117075,120998,124085,124884,125295,123354,120679,118485,114308,115697,113337,109259,104581,102655,100038,99544,101263,107644,112101,111106,108929,108742,106771,109165,108733,107405,109935,108765
Age 32,South East,109687,112384,116242,118310,122326,125257,126147,126248,124972,121778,119179,115121,117409,114428,111246,106647,104367,102284,101283,103073,109269,113190,112263,110305,110312,108408,110141,109929,108680,110645
Age 33,South East,107690,110560,112732,117079,119397,123291,126277,126761,127380,126188,122311,119977,116612,118615,116225,113075,108155,106526,103862,103150,104433,110339,114358,113924,111933,111846,109404,111396,111056,109521
Age 34,South East,105705,108480,110978,113614,118079,120248,124159,126818,128489,128247,126529,122755,121057,117324,120117,117890,114409,109964,108006,105315,104472,105459,111763,115667,115577,113467,112761,110585,112621,112066
Age 35,South East,103279,106321,108997,111771,114150,118538,120924,124632,128617,129655,128740,127422,123764,122152,118965,122047,119787,116057,111370,109495,106371,105589,106658,113057,117311,117182,114944,113813,111855,113492
Age 36,South East,102352,103854,106705,109796,112479,114757,119217,121420,126459,129523,130201,129415,128378,124671,123479,120299,123880,120965,117089,112749,110453,107352,106654,107974,114656,118853,118270,116225,115037,112666
Age 37,South East,103121,102597,103863,107367,110567,113057,115225,119506,122956,127188,129892,130708,130269,129246,125991,124846,121918,125406,121959,118543,113746,111665,108197,107834,109310,116327,120031,119415,117488,115921
Age 38,South East,102805,103478,102846,104536,108254,111489,113941,115872,121181,123871,127855,130402,131308,130912,130369,127189,126174,123000,126513,123087,119444,114706,112690,109336,108977,110617,117420,121016,120287,118154
Age 39,South East,101726,103242,103689,103385,104999,108713,112070,114268,117156,121792,124042,128398,131100,132017,131873,131402,128566,127095,123813,127802,123699,120162,115462,113754,110292,110251,111424,118466,121939,121063
Age 40,South East,103511,101477,102797,103778,103531,105114,109055,112320,115638,117391,121668,124606,128438,131251,132910,132348,132279,128816,127835,124475,128269,124400,121064,116389,114718,111326,111063,112464,119262,122331
Age 41,South East,107404,103491,101434,102952,103950,103583,105293,109139,113169,116188,117350,122015,124666,128550,131911,133059,132876,132264,129291,128358,124687,128690,125048,121898,117214,115512,111931,111871,113184,119734
Age 42,South East,112760,107284,103322,101749,103326,104251,104048,105544,109932,113720,116158,117720,122108,124906,129234,132475,133748,132929,132905,129642,128620,125242,129322,125644,122508,118175,116145,112608,112491,113805
Age 43,South East,121542,112434,107021,103315,102002,103322,104365,104064,105817,110268,113893,116145,117589,122005,125471,129397,132864,133757,132924,133100,129639,128861,125699,129944,126167,123259,118660,116661,113179,112892
Age 44,South East,135279,121868,112490,107383,103616,102407,103739,104542,104661,106177,110418,113955,116015,117501,122334,125603,129822,132725,134004,132910,132874,129980,129198,126138,130374,126862,123695,118956,117248,113365
Age 45,South East,105097,134506,121660,112313,107309,103440,102435,103581,104807,104696,106081,109522,113992,115835,117680,122591,125550,130023,132888,134123,132769,133164,130162,129640,126576,131007,127024,123959,119200,117555
Age 46,South East,102624,105224,133798,121713,112218,107195,103324,102374,103809,104991,104609,105378,109374,113648,115820,117822,122251,125726,130180,133040,134066,132932,133307,130554,130141,126935,131115,127248,124075,119485
